Main_AA,Sub_AA,Rlab_PTSCwScore
Lysine,Tryptophan,APT_DF:m3|ICP_DF:m1|ECP_DF:m2|MEP_F:3
Lysine,Tyrosine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_F:1
Lysine,Valine,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m4
Methionine,Alanine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_DF:m1
Methionine,Arginine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Methionine,Asparagine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Methionine,Aspartic acid,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m3
Methionine,Cysteine,APT_DF:m1|ICP_N:0|ECP_DF:m5|MEP_DF:m1
Methionine,Glutamine,APT_N:0|ICP_N:0|ECP_N:0|MEP_DF:m2
Methionine,Glutamic acid,APT_DF:m2|ICP_DF:m1|ECP_N:0|MEP_DF:m3
Methionine,Glycine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m3
Methionine,Histidine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Methionine,Isoleucine,APT_F:1|ICP_F:1|ECP_N:0|MEP_F:1
Methionine,Leucine,APT_F:2|ICP_F:2|ECP_F:1|MEP_F:1
Methionine,Lysine,APT_DF:m1|ICP_N:0|ECP_DF:m1|MEP_DF:m1
Methionine,Methionine,APT_F:4|ICP_F:4|ECP_F:4|MEP_F:4
Methionine,Phenylalanine,APT_N:0|ICP_F:1|ECP_N:0|MEP_N:0
Methionine,Proline,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m3
Methionine,Serine,APT_DF:m1|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Methionine,Threonine,APT_DF:m1|ICP_N:0|ECP_N:0|MEP_N:0
Methionine,Tryptophan,APT_DF:m1|ICP_N:0|ECP_DF:m1|MEP_DF:m2
Methionine,Tyrosine,APT_DF:m1|ICP_N:0|ECP_DF:m1|MEP_DF:m3
Methionine,Valine,APT_F:1|ICP_N:0|ECP_N:0|MEP_F:1
Phenylalanine,Alanine,APT_DF:m2|ICP_DF:m1|ECP_DF:m1|MEP_DF:m2
Phenylalanine,Arginine,APT_DF:m3|ICP_DF:m2|ECP_DF:m1|MEP_DF:m4
Phenylalanine,Asparagine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
Phenylalanine,Aspartic acid,APT_DF:m3|ICP_DF:m3|ECP_DF:m2|MEP_DF:m6
Phenylalanine,Cysteine,APT_DF:m2|ICP_N:0|ECP_DF:m5|MEP_F:1
Phenylalanine,Glutamine,APT_DF:m3|ICP_DF:m2|ECP_DF:m2|MEP_DF:m4
